0,715.1666,44.7088,-0.0119,0.0082,-0.0367
1,696.9547,44.6086,0.0407,-0.0541,-0.032
2,694.982,44.5994,0.036,0.0268,-0.001
3,712.5749,44.9378,0.0302,0.0614,0.0412
4,722.8192,44.874,0.0289,0.0007,-0.0065
5,730.1241,44.8764,-0.0081,0.0196,0.0473
6,713.7526,44.6655,-0.0467,0.0307,0.0065
7,709.8333,44.63,0.0069,0.0245,-0.0236
8,717.3384,44.8078,-0.0483,-0.0256,-0.0127
9,700.667,44.5312,0.0428,-0.0235,0.0279
10,719.8614,44.6689,0.0365,-0.0075,0.0137
11,697.6003,44.5236,0.0048,-0.0128,0.0239
12,696.6025,44.6809,0.0377,-0.0206,-0.0331
13,687.122,44.5289,-0.0327,0.0026,-0.005
14,736.3909,44.7162,-0.018,0.0294,0.0007
15,696.5488,44.573,0.0277,-0.0404,-0.0581
16,694.4882,44.5159,-0.0237,-0.0272,-0.0012
17,697.7712,44.6515,0.0308,-0.0071,-0.0125
18,701.1257,44.6494,0.0322,0.0363,0.0012
19,693.0914,44.4113,0.0158,0.027,-0.0535
20,692.9419,44.4759,0.0073,0.0081,-0.0312
21,706.0677,44.6193,-0.0006,0.0507,0.0235
22,709.701,44.665,-0.0409,-0.0254,0.0405
23,711.0125,44.9986,0.0033,0.0238,-0.0395
24,695.3391,44.6138,-0.0231,0.0437,-0.0045
25,701.1843,44.5251,0.0305,0.0217,-0.0043
26,692.6072,44.6168,0.0343,0.0145,-0.0175
27,720.8006,44.6889,-0.0347,0.0217,0.054
28,700.3152,44.6144,0.0307,0.0092,-0.0311
29,730.1561,44.8129,0.0225,0.0311,0.0252
30,686.1783,44.4322,-0.0295,0.0104,-0.0425
31,708.4889,44.4477,-0.0366,-0.0154,0.0076
32,695.7027,44.6531,-0.0081,0.0111,-0.0165
33,690.8908,44.4095,0.0084,-0.0055,0.0343
34,683.5181,44.4943,-0.021,-0.0225,-0.0063
35,706.2062,44.6526,0.0179,-0.0428,-0.0204
36,702.3351,44.6216,0.0002,0.0097,0.0194
37,725.9973,44.9162,0.0283,0.0178,0.042
38,713.8106,44.8288,-0.044,0.0304,-0.005
39,734.6339,44.8613,0.0092,0.0537,-0.0401
40,713.5603,44.6239,-0.0011,0.0375,-0.0329
41,726.2878,44.7689,0.0168,0.0284,0.0182
42,709.6681,44.4565,-0.0092,0.0254,0.0089
43,696.9672,44.5701,0.0468,-0.0337,0.0104
44,709.3059,44.5491,0.0533,0.0217,0.0031
45,713.7227,44.7163,-0.023,0.0288,-0.0052
46,697.1355,44.4019,0.0102,-0.0315,0.0203
47,695.5372,44.4421,0.0165,0.0228,-0.0397
48,711.4642,44.6939,0.0362,0.0379,0.0217
